Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;1Директивный стиль;2Аналитический стиль;3Концептуальный стиль;4Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;21;27;19;63;33;38;35,71;28,75;33,33;34,29;30;31,25;30;30;21,67;90;75;48;54;44;44;13;30;22;18;39;39;40;41;4;5;6;6;5;4;5;6;4;3;53;16;37;13;66;49;25;15;9;23;60;3,3;8;0,5;0;1,5;4;4;1,5;1;12;5,5;6,5;3,5;11;5,5;4;5;19;20;26;10
2;20;12;25;59;32;32;21,43;15;33,33;32,86;41,43;32,5;32;26,25;33,33;122;104;23;44;34;34;8;35;35;22;42;36;42;37;4;6;2;7;8;4;6;7;7;4;66;21;40;18;79;54;45;19;12;27;89;1,5;4;4;0;4;0,5;4;4;2;9,5;4,5;10;5,5;12;6,5;1;7;20;22;29;13
2;12;17;15;62;28;34;38,57;37,5;41,67;45,71;31,43;31,25;22;25;16,67;98;85;39;49;32;48;13;34;27;23;30;34;36;28;2;5;6;4;8;4;3;7;5;4;71;20;31;8;59;29;13;14;7;23;39;2;5;1,5;1;3;7,5;2;1,5;0,5;8,5;11,5;4;5;9,5;9,5;7;6;18;24;19;10
2;19;28;22;42;37;43;18,57;22,5;21,67;21,43;34,29;25;28;32,5;23,33;76;57;29;35;41;37;15;32;23;19;40;38;50;39;3;7;9;8;9;5;6;9;6;3;57;14;23;8;45;28;30;9;10;17;43;1,5;4;2,5;3;2,5;5;2,5;2;1;8;10,5;5,5;7;8,5;8,5;13;6;13;15;44;14
2;19;23;18;55;40;38;32,86;38,75;30;32,86;37,14;31,25;23;25;20;116;106;31;40;30;37;10;33;28;23;34;38;41;37;5;8;6;6;6;4;6;6;10;4;70;18;29;14;61;54;23;15;13;33;72;0;3;3;0,5;2,5;10;5;0;0;6;13;5;5,5;5,5;13;3;9;17;18;16;13
1;21;23;20;55;30;52;44,29;31,25;16,67;27,14;15,71;38,75;18;22,5;25;130;106;28;56;30;32;16;31;36;20;39;31;33;34;4;9;8;3;7;8;6;11;10;3;63;16;34;15;65;33;25;20;16;38;74;3,5;1,5;0,5;0;4,5;3;6;4;1;5,5;7,5;11;9,5;10;4,5;8;6;15;23;39;18
1;22;23;26;59;46;51;40;33,75;36,67;32,86;48,57;36,25;21;35;23,33;101;82;36;40;42;34;9;31;30;18;37;34;42;34;4;8;8;3;8;2;6;5;5;3;65;17;24;9;50;53;52;26;18;28;92;2;4,5;2,5;0,5;2;7,5;3,5;1;0,5;9;10;5;6;7,5;10,5;8;8;17;18;37;10
2;21;19;18;63;40;30;30;28,75;30;25,71;35,71;30;32;36,25;20;94;81;40;39;45;40;13;35;26;22;42;42;37;33;7;8;8;3;4;4;6;9;3;8;57;14;27;13;54;44;30;15;15;25;65;2;8,5;5,5;0;3;0;5;0;0;16;3;5;7;11,5;5,5;1;7;9;16;34;18
2;19;20;17;60;46;52;40;27,5;35;31,43;25,71;31,25;28;26,25;28,33;111;96;38;57;34;34;12;27;34;24;36;32;29;37;7;10;6;3;2;3;7;6;3;2;57;15;30;12;57;39;29;10;7;29;57;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;14;21;26;12
2;14;19;18;58;38;46;35,71;37,5;40;35,71;31,43;35;29;33,75;25;100;78;33;44;31;42;11;29;29;21;40;39;38;35;5;6;4;5;6;4;5;6;8;5;56;17;29;15;61;39;32;16;10;34;66;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;17;24;20;9
2;26;26;18;58;38;30;28,57;40;18,33;45,71;38,57;25;16;35;26,67;79;59;36;37;34;38;8;28;31;18;36;48;39;33;9;4;4;5;11;5;5;7;5;4;66;15;28;15;58;63;39;26;10;26;87;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;12;17;35;13
2;19;13;14;60;41;35;31,43;35;31,67;35,71;35,71;33,75;32;33,75;23,33;98;89;34;39;42;40;13;27;24;24;43;44;41;40;8;6;7;9;8;8;8;7;14;11;50;20;35;6;61;47;37;25;22;41;89;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;13;19;30;14
2;25;25;21;69;39;59;45,71;50;43,33;48,57;44,29;32,5;33;31,25;31,67;108;92;43;54;44;37;8;31;29;23;33;41;37;35;5;10;8;3;2;2;2;5;6;4;69;19;27;9;55;51;33;23;10;29;69;2,5;10;0,5;0;1,5;3;4,5;2;0;13;4,5;6,5;7;13,5;3,5;5;7;7;17;24;8
2;14;22;18;63;36;51;42,86;35;40;41,43;35,71;28,75;18;31,25;35;108;85;22;44;24;35;14;35;34;23;43;32;38;33;9;7;5;4;4;2;8;8;8;4;57;8;48;8;64;30;36;22;18;33;71;5;5;1,5;1;1;4,5;4,5;1,5;0;11,5;6,5;6;10,5;7,5;6;6;9;13;22;30;10
2;24;11;14;59;36;31;32,86;25;36,67;37,14;38,57;27,5;22;32,5;23,33;109;94;24;42;39;39;10;33;27;21;38;40;41;37;3;8;7;6;4;5;5;6;6;4;56;8;48;8;64;49;26;11;12;27;63;4;5;4;0;1;2,5;3,5;2,5;1,5;13;3,5;7,5;7,5;8,5;8;6;?;21;23;30;12
2;22;22;16;58;42;35;31,43;25;35;31,43;40;20;19;18,75;18,33;89;66;22;32;33;38;12;32;22;22;41;45;36;38;4;10;9;3;2;5;7;6;6;2;50;8;48;8;64;53;39;18;19;25;81;1,5;7;0;0;2;5,5;6;1;1;8,5;7,5;8;7,5;9;6,5;1;8;6;17;34;15
2;19;19;23;62;43;45;37,14;25;36,67;34,29;28,57;30;24;28,75;20;111;103;38;48;39;39;13;30;28;25;44;54;51;48;6;7;9;5;4;4;6;8;9;4;51;8;48;8;64;38;27;16;13;28;59;2;4,5;3;0,5;3;5;4,5;0,5;1;9,5;8,5;6;7;8;9;8;8;16;19;25;14
1;22;25;18;60;34;37;41,43;45;40;47,14;34,29;36,25;29;37,5;35;95;74;29;44;36;36;13;32;34;22;40;34;37;38;9;6;8;11;9;9;11;8;13;9;71;8;48;8;64;32;23;16;18;29;67;4;7,5;3,5;0;2;3;3;0;1;15;5;4;7;9,5;7,5;6;8;15;23;25;12
1;14;12;15;56;32;38;38,57;38,75;36,67;30;44,29;38,75;31;36,25;26,67;112;87;21;45;41;37;10;33;25;27;43;34;42;31;4;8;6;8;4;4;6;6;9;4;62;8;48;8;64;33;23;12;21;34;67;4,5;4;3,5;0,5;2;5,5;3;0;1;12;8;4;8;6;10;10;7;19;25;18;11
1;27;11;15;68;47;44;40;30;36,67;35,71;38,57;30;28;27,5;26,67;123;114;25;33;25;32;6;29;28;21;43;41;39;31;10;7;9;5;5;4;4;8;6;5;62;8;48;8;64;28;37;17;18;28;63;3;4;2,5;0;3;4,5;5;0,5;1,5;9,5;7,5;7;8;7,5;8,5;7;6;14;19;19;11
